# This is an all-caps acronym/abbreviation definition file
# To be used with soyacro.py or similar application
# Format each entry all on one line with three elements; ASCII characters only:
#    ALL-CAPSorNUMBERS-NOTHING-ELSE-ACRONYM/ABBREVIATION
#    A-SINGLE-COMMA
#    Nothing OR a mixed-case replacement for the all-caps, ie MHZ,MHz,Megahertz
#    A-SINGLE COMMA
#    Acronym / abbreviation expansion all on ONE line. Examples:
# MHZ,MHz,Megahertz
# ADC,,Analog to Digital Converter
# -----------------------------------------------------------------------------

1802,,An RCA 8-bit CPU
2D,,Two Dimensional
3D,,Three Dimensional
411,,A shorthand for: Information
420,,A shorthand for: Time to smoke some pot
69,,A shorthand for: Mutual inverted oral sex activities
707,,A passenger aircraft
727,,A passenger aircraft
73,,A shorthand for: Goodbye
737,,A passenger aircraft
747,,A passenger aircraft
6809,,A Motorola 8-bit CPU
8080,,An Intel 8-bit CPU
A320,,A passenger aircraft
AB,,Alberta (Canada)
ABC,,American Broadcasting Company; Australian Broadcasting Corporation
ABM,,Anti-Ballistic Missile
AC,,Anonymous Coward; Alternating Current; Air Conditioning
ACT,,Air Channel Transistor
ACLU,,American Civil Liberties Union
AD,,Anno Domini (in the year of the Lord)
ADA,,Americans with Disabilities Act (US)
ADC,,Analog to Digital Converter
ADD,,Attention Deficit Disorder
AF,,Audio Frequency
AFAIK,,As Far As I Know
AFSK,,Audio Frequency Shift Keying - using audio tones to encode data
AG,,Attorney General; Aerographer's mate (US navy)
AGW,,Antropogenic Global Warming
AI,,Artificial Intelligence
AIDS,,Acquired ImmunoDeficiency Syndrome
AK,,Alaska (USA)
AKA,,Also Known As
AL,,Alabama (USA); Artificial Life
ALS,,Amyotrophic Lateral Sclerosis AKA as Lou Gehrig's disease
AM,,Amplitude Modulation; Ante Meridiem - before midday
AMA,,Ask Me Anything
AMD,,American Micro Devices
AMZN,,Amazon's stock ticker symbol
ANSI,,American National Standards Institute
AOL,,America OnLine (a digital services provider)
AP,,Access Point
APFS,,APple File System
API,,Application Programmer Interface
APL,,A Programming Language; APpLe stock symbol
AR,,Arkansas (USA)
ARM,,A class of CPUs
ASCII,,American Standard Code For Information Interchange (a 7-bit code)
ASIC,,Application-Specific Integrated Circuit
ASUS,,ASUS is a Taiwan-based, multinational computer hardware and consumer electronics company, established 1989.
ATM,,Automated Teller Machine; At The Moment; Asynchronous Transfer Mode
AWS,,Amazon Web Services
AWSSI,,Accumulated Winter Season Severity Index
AZ,,Arizona (USA)
BATF,,Bureau of Alcohol, Tobacco, and Firearms (US)
BBC,,British Broadcasting Corporation
BBIAB,,Be Back In A Bit
BC,,British Columbia (Canada); Before Christ
BCC,,Blind Carbon Copy
BFE,,Bum Fuck Egypt (middle of nowhere)
BFR,,Big Fucking Rocket
BND,,Bundesnachrichtendienst - Federal Intelligence Service (German)
BI,,Bisexual
BP,,Blood Pressure
BSOD,,Blue Screen Of Death
BTW,,By The Way
BW,,Black and White (imaging); Bandwidth
CA,,California (USA)
CAD,,Computer Aided Design
CBC,,Canadian Broadcasting Corporation
CBD,,Cannabidiol
CBS,,Columbia Broadcasting System
CC,,Carbon Copy; Credit Card
CDC,,Center for Disease Control (US)
CD,,Compact Disk
CE,,Current Era
CEO,,Chief Executive Officer
CEQA,,California Environmental Quality Act (US)
CFO,,Chief Financial Officer
CGI,,Common Gateway Interface, also Computer Generated Imagery
CIA,,Central Intelligence Agency (US)
CIS,,Cisgender - where sense of identity corresponds to birth sex
CIT,,California Institute of Technology
CMOS,,Complementary Metal Oxide Semiconductor
CMY,,Cyan, Magenta, Yellow
CMYK,,Cyan, Magenta, Yellow, Black
CNC,,Computer Numeric Control (manufacturing tools)
CNN,,Cable News Network
CO,,Colorado (USA); Carbon Monoxide
CO2,,Carbon Dioxide
COM,,COMmunications
COO,,Chief Operating Officer
CP,,Child Porn
CPM,CP/M,An OS for the 8080 microprocessor: Control Program for Microcomputers
CPU,,Central Processing Unit
CQUAM,C-QUAM,Compatible QUadrature Amplitude Modulation
CRISPR,,Clustered Regularly Interspaced Short Palindromic Repeats - genetic editing tool
CRT,,Cathode Ray Tube
CSS,,Cascading Style Sheet - a means to indirectly format to HTML
CST,,Central Standard Time
CT,,Connecticut (USA)
CTRL,,Control
CUDA,,Compute Unified Device Architecture
CUL,,See You Later
CW,,Continous Wave (only) transmissions (generally Morse Code)
CYA,,Cover Your Ass
DAC,,Digital to Analog Converter
DB,,Database
DBMS,,Database Management System
DC,,Direct Current; Washington DC (District of Columbia) (USA)
DD,,2-digit day, 01-31
DEA,,Drug Enforcement Agency (US)
DE,,Delaware (USA)
DGPS,,Differential Global Positioning System
DHCP,,Dynamic Host Configuration Protocol
DHS,,Department of Homeland Security (US)
DIMM,,Dual Inline Memory module
DIN,,German institute, similar to US ANSI
DIY,,Do It Yourself
DMA,,Direct Memory Access
DMR,,Digital Mobile Radio
DNA,,DeoxyriboNucleic Acid: chemically encodes genetic information
DNC,,Democratic National Convention
DNS,,Domain Name System
DOB,,Date Of Birth
DOD,,Department Of Defense (US)
DOE,,Department Of Energy (US)
DOH,DoH,DNS-over-HTTPS
DOI,,Department of the Interior (US); Digital Object Identifier
DOJ,,Department Of Justice (US)
DOT,,Department Of Transportation (US)
DPI,,Dots Per Inch
DRAM,,Dynamic Random Access Memory - access any part at any time, but must keep refreshing it or it forgets
DR,,Didn't Read
DRM,,Digital Rights Management; Digital Radio Mondial (a digital broadcast format)
DSL,,Digital Subscriber Line
DSLR,,Digital single-lens reflex (camera)
DSS,,Data Security Standard
DTMF,,Dual Tone Multi Frequency (touch-tone encoding)
DVD,,Digital Video Disk
DVR,,Digital Video Recorder
DX,,Distance, in radio reception
ECC,,Error Correcting Code
ECG,,ElectroCardioGram
EELV,,Evolved Expendable Launch Vehicle
EEOC,,Equal Employment Opportunity Commission (US)
EEU,,Eurasian Economic Union
EFF,,Electronic Frontier Foundation
EKG,,Electro(C/k)ardioGram
EMT,,Emergency Medical Technician
ENSO,,El Ni&#241;o/Southern Oscillation
EPA,,Environmental Protection Agency (US)
EPROM,,Erasable Programmable Read-Only Memory - normally read-only, but can be erased
EPS,,Encapsulated PostScript
ERU,,Energy Recovery Unit
ESA,,European Space Agency
ESPN,,Entertainment and Sports Programming Network
EST,,Eastern Standard Time
ET,,Eastern Time; Extra-Terrestrial
EU,,European Union
EULA,,End User License Agreement
EV,,Electric Vehicle
EXIF,,EXchangeable Image File format
FAA,,Federal Aviation Administration (US)
FAQ,,Frequently Asked Questions
FAX,,Facsimile transmission
FBI,,Federal Bureau of Investigation (US)
FCC,,Federal Communications Commission
FDA,,Food and Drug Administration (US)
FDIC,,Federal Deposit Insurance Corporation
FEMA,,Federal Emergency Management Agency (US)
FFS,,For Fuck's Sake
FIFO,,First In, First Out
FIOS,,FIber Optic Service
FL,,Florida (USA)
FLEX,,An OS for the 6800 and 6809 microprocessors
FLOPS,,FLoating Point OPerations per Second
FM,,Frequency Modulation
FML,,Fuck My Life
FORTRAN,,A computer language, "FORmula TRANSlator"
FOSS,,Free Open Source Software
FOSTA,,Fight Online Sex Trafficking Act (US)
FP16,,16-bit Floating Point
FP32,,32-but Floating Point
FPGA,,Field-Programmable Gate Array
FPU,,Floating Point Unit
FSB,,Federal Security Service (Russian Federation)
FTC,,Federal Trade Commission (USA)
FTFY,,Fixed That For You
FTP,,File Transfer Protocol
FTW,,For The Win
FUBAR,,Fucked Up Beyond All Recovery
FU,,Fuck You
FWIW,,For What It's Worth
FYI,,For Your Information
G20,,Group of 20 (countries)
GA,,Georgia (USA)
GAO,,Government Accountability Office (US)
GB,,Gigabyte
GCC,,GNU Compiler Collection; Gulf Cooperation Council
GCHQ,,Government Communications HeadQuarters (UK)
GDPR,,General Data Protection Regulation (EU)
GFLOPS,,Giga FLoating Point OPerations per Second
GHZ,GHz,Gigahertz - Billions of cycles per second
GI,,Gastro-Intestinal; soldier, rank of private, US army (from "Galvanized Iron")
GIF,,Graphics Interchange Format - stores either still or animated images
GIGO,,Garbage In, Garbage Out
GM,,General Motors
GMT,,Greenwich Mean Time (equivalent to Coordinated Universal Time)
GOP,,Grand Old Party (Republican party, USA)
GP,,GrandParent (usually parent of parent post); General Practitioner (medical)
GPH,,Gallons Per Hour
GPIO,,General Purose Input Output
GPS,,Global Positioning System
GPU,,Graphics Processing Unit
GUI,,Graphic User Interface
HBO,,Home Box Office (US media)
HDMI,,High Definition Multimedia Interface
HEX,,Hexadecimal - base 16 numbers, used because one HEX digit conveniently equals four binary digits
HF,,High Frequency
HI,,Hawaii (USA)
HIFI,HiFi,High Fidelity
HIPAA,,Health Insurance Portability and Accountability Act (US)
HIV,,Human Immunodeficiency Virus
HOA,,Home Owner's Association
HP,,Hewlett-Packard (company) or Highway Patrol (officer)
HQ,,Headquarters
HR,,Human Resources
HRW,,Human Rights Watch
HTH,,Hope That Helped or Here To Help
HTML2,,HyperText Markup Language version 2
HTML3,,HyperText Markup Language version 3
HTML4,,HyperText Markup Language version 4
HTML5,,HyperText Markup Language version 5
HTML,,HyperText Markup Language (in general, also version 1)
HTTP,,HyperText Transfer Protocol
